date,q
2020-09-01,6.55
2020-09-02,7.2
2020-09-03,7.3
2020-09-04,7.28
2020-09-05,7.22
2020-09-06,7.54
2020-09-07,7.38
2020-09-08,7.52
2020-09-09,7.3
2020-09-10,7.01
2020-09-11,7.17
2020-09-12,7.39
2020-09-13,6.79
2020-09-14,6.5
2020-09-15,6.77
2020-09-16,6.63
2020-09-17,7.21
2020-09-18,6.98
2020-09-19,6.63
2020-09-20,7.14
2020-09-21,7.54
2020-09-22,6.9
2020-09-23,6.98
2020-09-24,7.01
2020-09-25,6.9
2020-09-26,6.79
2020-09-27,7.28
2020-09-28,7.01
2020-09-29,6.6
2020-09-30,6.98
2020-10-01,7.62
2020-10-02,7.11
2020-10-03,7.09
2020-10-04,7.03
2020-10-05,7.14
2020-10-06,7.11
2020-10-07,6.15
2020-10-08,6.01
2020-10-09,6.6
2020-10-10,6.42
2020-10-11,6.28
2020-10-12,5.85
2020-10-13,5.88
2020-10-14,5.83
2020-10-15,7.2
2020-10-16,7.3
2020-10-17,7.72
2020-10-18,7.62
2020-10-19,7.46
2020-10-20,7.89
2020-10-21,8.28
2020-10-22,8.36
2020-10-23,8.52
2020-10-24,8.75
2020-10-25,8.54
2020-10-26,8.35
2020-10-27,8.36
2020-10-28,8.55
2020-10-29,8.22
2020-10-30,7.87
2020-10-31,7.68
2020-11-01,6.44
2020-11-02,6.38
2020-11-03,6.14
2020-11-04,5.8
2020-11-05,5.68
2020-11-06,5.58
2020-11-07,5.84
2020-11-08,5.29
2020-11-09,5.21
2020-11-10,5.17
2020-11-11,5.35
2020-11-12,5.37
2020-11-13,5.51
2020-11-14,6.02
2020-11-15,6.18
2020-11-16,6.24
2020-11-17,5.98
2020-11-18,5.84
2020-11-19,5.72
2020-11-22,5.66
2020-11-23,5.92
2020-11-24,5.51
2020-11-25,5.07
2020-11-26,5.01
2020-11-27,4.73
2020-11-28,5.05
2020-11-29,5.34
2020-11-30,6.02
2020-12-01,7.23
2020-12-02,8.31
2020-12-03,8.15
2020-12-04,10.42
2020-12-05,14.68
2020-12-06,15.49
2020-12-07,19.26
2020-12-08,26.02
2020-12-09,21.94
2020-12-10,17.78
2020-12-11,14.24
2020-12-12,12.32
2020-12-13,11.01
2020-12-14,10.47
2020-12-15,12.24
2020-12-16,14.0
2020-12-17,15.92
2020-12-18,19.19
2020-12-19,28.91
2020-12-20,26.59
2020-12-21,24.88
2020-12-22,18.61
2020-12-23,16.3
2020-12-24,18.18
2020-12-25,18.9
2020-12-26,30.04
2020-12-27,36.32
2020-12-28,56.13
2020-12-29,53.68
