metodo,x,y,regimen,fecha,q,temporada
PCA,0.7689,-0.5239,base,2015-01-05,10.4,humeda
PCA,0.815,-0.0848,base,2015-01-12,10.4,humeda
PCA,0.5517,0.2676,base,2015-01-13,10.4,humeda
PCA,0.3007,0.5981,base,2015-01-14,10.3,humeda
PCA,0.0523,0.8942,base,2015-01-15,10.3,humeda
PCA,-0.8025,2.4872,base,2015-01-22,10.3,humeda
PCA,-0.5007,2.9362,base,2015-01-25,10.4,humeda
PCA,-0.1487,2.7011,base,2015-01-29,10.4,humeda
PCA,0.1856,2.6694,base,2015-01-31,10.5,humeda
PCA,1.5731,2.7494,base,2015-02-12,15.2,humeda
PCA,1.5783,2.9056,base,2015-02-15,15.2,humeda
PCA,1.7475,3.1198,base,2015-02-16,15.2,humeda
PCA,2.254,3.4403,base,2015-02-18,15.1,humeda
PCA,2.4593,3.4557,base,2015-02-19,15.1,humeda
PCA,3.1843,3.2804,base,2015-02-23,14.7,humeda
PCA,3.5957,3.8843,base,2015-03-01,13.2,humeda
PCA,3.7365,4.1908,base,2015-03-02,13.2,humeda
PCA,3.9984,4.562,base,2015-03-03,15.5,humeda
PCA,4.4715,5.4885,base,2015-03-09,15.0,humeda
PCA,4.5074,5.3332,base,2015-03-10,14.4,humeda
PCA,4.6477,4.9555,base,2015-03-12,13.2,humeda
PCA,4.8711,4.5214,base,2015-03-14,13.2,humeda
PCA,5.4949,4.0043,base,2015-03-17,16.0,humeda
PCA,6.5768,4.2844,crecida,2015-03-20,49.1,humeda
PCA,7.0559,4.5112,crecida,2015-03-21,50.9,humeda
PCA,7.3755,4.792,crecida,2015-03-22,51.1,humeda
PCA,7.7547,5.0435,crecida,2015-03-23,51.9,humeda
PCA,8.1276,5.4067,crecida,2015-03-24,53.8,humeda
PCA,8.5014,5.7711,crecida,2015-03-25,51.0,humeda
PCA,8.8287,6.0475,crecida,2015-03-26,50.5,humeda
PCA,9.2087,6.1568,crecida,2015-03-27,49.6,humeda
PCA,9.5543,6.1945,crecida,2015-03-28,48.1,humeda
PCA,9.9004,6.1122,crecida,2015-03-29,45.5,humeda
PCA,10.4488,5.6227,base,2015-04-01,26.5,humeda
PCA,10.5758,5.0474,base,2015-04-03,25.0,humeda
PCA,10.6931,4.6595,base,2015-04-04,24.4,humeda
PCA,10.8705,4.3597,base,2015-04-05,24.2,humeda
PCA,10.9929,4.0638,base,2015-04-06,23.9,humeda
PCA,10.8831,2.7606,base,2015-04-11,20.2,humeda
PCA,10.7616,0.0792,base,2015-04-19,17.5,humeda
PCA,10.3177,-2.3561,base,2015-04-25,15.5,humeda
PCA,9.8232,-3.6014,base,2015-04-28,15.2,humeda
PCA,9.4202,-4.335,base,2015-04-30,14.7,humeda
PCA,5.4134,-9.5341,base,2015-05-15,9.7,seca
PCA,5.0113,-9.6424,base,2015-05-16,9.7,seca
PCA,0.8774,-6.3367,base,2015-05-24,8.8,seca
PCA,-0.5461,-4.5302,base,2015-05-28,8.5,seca
PCA,-1.5144,-3.7461,base,2015-06-01,7.8,seca
PCA,-2.0957,-3.3226,base,2015-06-04,7.6,seca
PCA,-2.2957,-3.082,base,2015-06-05,7.5,seca
PCA,-3.6255,-1.8826,base,2015-06-13,7.2,seca
PCA,-4.8549,-1.0479,base,2015-06-21,7.0,seca
PCA,-5.488,-0.8883,base,2015-06-28,6.6,seca
PCA,-5.5716,-0.9082,base,2015-06-29,6.3,seca
PCA,-5.6581,-0.9345,base,2015-06-30,6.0,seca
PCA,-6.261,-1.8077,base,2015-07-12,6.7,seca
PCA,-6.8308,-1.8997,base,2015-07-20,6.4,seca
PCA,-7.1657,-1.6357,base,2015-07-23,5.5,seca
PCA,-7.7324,-1.3608,base,2015-07-31,5.1,seca
PCA,-7.7873,-1.3441,base,2015-08-01,6.9,seca
PCA,-7.932,-1.1789,base,2015-08-03,6.8,seca
PCA,-8.0749,-0.9942,base,2015-08-05,6.7,seca
PCA,-7.1907,2.0358,base,2015-08-21,6.2,seca
PCA,-7.1153,2.185,base,2015-08-22,6.2,seca
PCA,-6.9826,2.3918,base,2015-08-24,6.2,seca
PCA,-6.7183,2.5172,base,2015-08-29,5.9,seca
PCA,-6.6725,2.4909,base,2015-08-30,5.8,seca
PCA,-6.4815,2.2278,base,2015-09-04,7.0,seca
PCA,-6.4172,2.0487,base,2015-09-06,7.0,seca
PCA,-6.3007,1.4285,base,2015-09-11,6.8,seca
PCA,-6.258,1.1394,base,2015-09-13,6.7,seca
PCA,-6.1716,1.1247,base,2015-09-14,6.7,seca
PCA,-5.8113,1.2641,base,2015-09-17,6.6,seca
PCA,-5.7058,1.2773,base,2015-09-18,6.6,seca
PCA,-5.6078,1.2722,base,2015-09-19,6.6,seca
PCA,-5.4814,1.3227,base,2015-09-20,6.6,seca
PCA,-4.5983,1.7792,base,2015-09-26,6.5,seca
PCA,-4.0942,2.0799,base,2015-09-29,6.4,seca
