date,coastal,oni
2010-01-01,0.333,1.503
2010-02-01,0.157,1.223
2010-03-01,0.027,0.843
2010-04-01,0.067,0.353
2010-05-01,0.047,-0.177
2010-06-01,-0.26,-0.66
2010-07-01,-0.777,-1.05
2010-08-01,-1.187,-1.353
2010-09-01,-1.27,-1.56
2010-10-01,-1.27,-1.643
2010-11-01,-1.163,-1.643
2010-12-01,-0.897,-1.593
2011-01-01,-0.513,-1.417
2011-02-01,-0.507,-1.193
2011-03-01,-0.41,-0.937
2011-04-01,-0.32,-0.74
2011-05-01,0.073,-0.557
2011-06-01,0.17,-0.443
2011-07-01,0.063,-0.487
2011-08-01,-0.283,-0.627
2011-09-01,-0.577,-0.833
2011-10-01,-0.697,-1.013
2011-11-01,-0.677,-1.1
2011-12-01,-0.477,-1.04
2012-01-01,-0.167,-0.867
2012-02-01,0.113,-0.717
2012-03-01,0.473,-0.593
2012-04-01,0.643,-0.477
2012-05-01,0.93,-0.267
2012-06-01,0.763,-0.017
2012-07-01,0.497,0.247
2012-08-01,0.177,0.367
2012-09-01,-0.08,0.37
2012-10-01,-0.24,0.267
2012-11-01,-0.543,0.057
2012-12-01,-0.647,-0.207
2013-01-01,-0.753,-0.433
2013-02-01,-0.693,-0.433
2013-03-01,-0.877,-0.34
2013-04-01,-1.16,-0.3
2013-05-01,-1.573,-0.357
2013-06-01,-1.697,-0.403
2013-07-01,-1.557,-0.397
2013-08-01,-1.177,-0.317
2013-09-01,-0.893,-0.253
2013-10-01,-0.693,-0.173
2013-11-01,-0.583,-0.17
2013-12-01,-0.337,-0.267
2014-01-01,-0.353,-0.427
2014-02-01,-0.31,-0.463
2014-03-01,-0.317,-0.273
2014-04-01,0.24,0.04
2014-05-01,0.857,0.21
2014-06-01,1.193,0.163
2014-07-01,1.137,0.047
2014-08-01,0.89,0.067
2014-09-01,0.793,0.233
2014-10-01,0.763,0.493
2014-11-01,0.633,0.633
2014-12-01,0.35,0.657
2015-01-01,-0.093,0.547
2015-02-01,-0.2,0.467
2015-03-01,0.187,0.53
2015-04-01,0.88,0.697
2015-05-01,1.58,0.933
2015-06-01,2.093,1.187
2015-07-01,2.127,1.523
2015-08-01,2.157,1.867
2015-09-01,2.017,2.167
2015-10-01,2.227,2.43
2015-11-01,2.203,2.58
2015-12-01,2.093,2.65
2016-01-01,1.767,2.497
2016-02-01,1.48,2.15
2016-03-01,1.033,1.597
2016-04-01,0.763,0.943
2016-05-01,0.527,0.393
2016-06-01,0.46,-0.07
2016-07-01,0.377,-0.363
2016-08-01,0.353,-0.547
2016-09-01,0.383,-0.633
2016-10-01,0.343,-0.693
2016-11-01,0.297,-0.667
2016-12-01,0.493,-0.563
2017-01-01,0.907,-0.337
2017-02-01,1.3,-0.16
2017-03-01,1.34,0.057
2017-04-01,0.957,0.207
2017-05-01,0.34,0.31
2017-06-01,-0.117,0.32
2017-07-01,-0.3,0.143
2017-08-01,-0.49,-0.113
2017-09-01,-0.653,-0.383
2017-10-01,-0.94,-0.653
2017-11-01,-1.143,-0.837
2017-12-01,-1.247,-0.977
2018-01-01,-1.17,-0.913
2018-02-01,-1.147,-0.853
2018-03-01,-1.117,-0.697
2018-04-01,-1.043,-0.503
2018-05-01,-0.833,-0.223
2018-06-01,-0.623,-0.013
2018-07-01,-0.463,0.083
