date,model,lead,obs,p10,p50,p90
2024-01-01,RA-TFT,1,,26.722,40.345,54.544
2024-01-02,RA-TFT,1,,22.374,31.807,41.514
2024-01-03,RA-TFT,1,,19.724,27.395,35.11
2024-01-04,RA-TFT,1,,18.887,25.927,32.936
2024-01-05,RA-TFT,1,,17.945,24.436,30.861
2024-01-06,RA-TFT,1,,17.259,23.359,29.376
2024-01-07,RA-TFT,1,,16.508,22.274,27.948
2024-01-08,RA-TFT,1,,15.426,20.801,26.081
2024-01-09,RA-TFT,1,26.84,16.146,21.65,27.033
2024-01-10,RA-TFT,1,31.85,20.258,27.322,34.313
2024-01-11,RA-TFT,1,29.59,22.037,30.11,38.236
2024-01-12,RA-TFT,1,33.9,24.59,34.021,43.606
2024-01-13,RA-TFT,1,34.28,25.954,36.298,46.934
2024-01-14,RA-TFT,1,37.83,26.554,37.284,48.43
2024-01-15,RA-TFT,1,36.27,28.103,39.82,52.086
2024-01-16,RA-TFT,1,31.65,25.155,34.806,45.008
2024-01-17,RA-TFT,1,34.54,24.763,34.034,43.807
2024-01-18,RA-TFT,1,38.96,25.702,35.335,45.455
2024-01-19,RA-TFT,1,37.17,27.222,37.803,48.916
2024-01-20,RA-TFT,1,33.81,26.931,37.096,47.765
2024-01-21,RA-TFT,1,33.03,26.201,35.729,45.693
2024-01-22,RA-TFT,1,34.86,25.445,34.401,43.729
2024-01-23,RA-TFT,1,32.32,25.814,34.822,44.183
2024-01-24,RA-TFT,1,32.86,25.353,33.885,42.721
2024-01-25,RA-TFT,1,32.67,23.963,31.757,39.837
2024-01-26,RA-TFT,1,35.08,24.396,32.404,40.678
2024-01-27,RA-TFT,1,34.18,24.934,33.123,41.584
2024-01-28,RA-TFT,1,32.7,25.072,33.198,41.586
2024-01-29,RA-TFT,1,40.3,25.936,34.262,42.822
2024-01-30,RA-TFT,1,49.22,30.248,40.662,51.392
2024-01-31,RA-TFT,1,42.82,31.283,42.27,53.703
2024-02-01,RA-TFT,1,51.52,34.925,47.859,61.328
2024-02-02,RA-TFT,1,56.68,41.454,60.318,80.098
2024-02-03,RA-TFT,1,47.92,37.926,53.066,68.988
2024-02-04,RA-TFT,1,39.58,34.546,47.039,60.237
2024-02-05,RA-TFT,1,37.78,33.594,45.34,57.792
2024-02-06,RA-TFT,1,33.96,31.132,41.311,52.149
2024-02-07,RA-TFT,1,31.39,27.759,35.922,44.533
2024-02-08,RA-TFT,1,30.74,26.6,34.02,41.798
2024-02-09,RA-TFT,1,29.53,26.31,33.403,40.83
2024-02-10,RA-TFT,1,27.51,25.742,32.33,39.168
2024-02-11,RA-TFT,1,25.0,24.321,30.139,36.138
2024-02-12,RA-TFT,1,23.97,23.334,28.649,34.108
2024-02-13,RA-TFT,1,23.97,22.676,27.652,32.677
2024-02-14,RA-TFT,1,22.27,22.073,26.818,31.566
2024-02-15,RA-TFT,1,23.0,22.357,27.161,31.893
2024-02-16,RA-TFT,1,21.46,21.568,26.161,30.654
2024-02-17,RA-TFT,1,20.71,21.598,26.241,30.735
2024-02-18,RA-TFT,1,22.2,20.307,24.77,29.114
2024-02-19,RA-TFT,1,26.85,20.253,24.746,29.116
2024-02-20,RA-TFT,1,25.9,22.288,27.147,31.854
2024-02-21,RA-TFT,1,30.23,22.328,27.036,31.646
2024-02-22,RA-TFT,1,25.74,22.825,27.399,32.002
2024-02-23,RA-TFT,1,23.19,22.074,26.313,30.605
2024-02-24,RA-TFT,1,21.68,21.821,26.04,30.312
2024-02-25,RA-TFT,1,20.78,20.762,24.788,28.754
2024-02-26,RA-TFT,1,29.61,22.423,27.033,31.718
2024-02-27,RA-TFT,1,31.54,23.516,28.257,33.141
2024-02-28,RA-TFT,1,34.07,24.206,29.018,34.152
2024-02-29,RA-TFT,1,38.16,26.551,31.978,37.921
2024-03-01,RA-TFT,1,42.19,30.787,37.789,45.716
2024-03-02,RA-TFT,1,44.57,32.65,40.194,48.577
2024-03-03,RA-TFT,1,41.91,34.595,42.79,51.791
2024-03-04,RA-TFT,1,38.47,33.82,41.335,49.517
2024-03-05,RA-TFT,1,34.4,32.607,39.349,46.63
2024-03-06,RA-TFT,1,31.51,30.153,35.757,41.763
2024-03-07,RA-TFT,1,28.53,28.094,32.913,38.035
2024-03-08,RA-TFT,1,28.62,26.939,31.399,36.066
2024-03-09,RA-TFT,1,27.82,26.582,30.915,35.407
2024-03-10,RA-TFT,1,26.02,25.815,29.963,34.221
2024-03-11,RA-TFT,1,25.3,24.678,28.592,32.573
2024-03-12,RA-TFT,1,26.61,24.248,28.184,32.173
2024-03-13,RA-TFT,1,23.65,23.649,27.482,31.347
2024-03-14,RA-TFT,1,21.07,22.386,26.048,29.68
2024-03-15,RA-TFT,1,19.57,20.958,24.52,27.969
2024-03-16,RA-TFT,1,18.34,19.674,23.208,26.538
2024-03-17,RA-TFT,1,20.04,19.197,22.885,26.375
2024-03-18,RA-TFT,1,19.79,18.754,22.507,26.007
2024-03-19,RA-TFT,1,23.43,19.055,22.997,26.682
2024-03-20,RA-TFT,1,27.17,20.159,24.269,28.131
2024-03-21,RA-TFT,1,23.56,20.974,24.985,28.843
2024-03-22,RA-TFT,1,24.78,20.804,24.714,28.469
2024-03-23,RA-TFT,1,28.01,20.693,24.458,28.098
2024-03-24,RA-TFT,1,31.92,26.963,32.001,36.992
2024-03-25,RA-TFT,1,44.65,27.002,31.683,36.502
2024-03-26,RA-TFT,1,47.61,41.694,52.147,64.384
2024-03-27,RA-TFT,1,44.78,41.254,50.834,62.238
2024-03-28,RA-TFT,1,36.95,37.898,45.262,53.901
2024-03-29,RA-TFT,1,33.12,33.349,38.625,44.649
2024-03-30,RA-TFT,1,28.24,30.439,34.74,39.537
2024-03-31,RA-TFT,1,25.44,27.973,31.675,35.697
2024-04-01,RA-TFT,1,29.32,26.502,29.858,33.411
2024-04-02,RA-TFT,1,34.82,28.292,32.053,35.995
2024-04-03,RA-TFT,1,34.82,30.498,34.814,39.451
2024-04-04,RA-TFT,1,40.65,33.231,38.381,44.085
2024-04-05,RA-TFT,1,42.33,36.702,43.092,50.335
2024-04-06,RA-TFT,1,44.87,38.269,45.274,53.342
2024-04-07,RA-TFT,1,47.04,38.634,45.556,53.536
2024-04-08,RA-TFT,1,41.54,38.658,45.361,53.061
2024-04-09,RA-TFT,1,40.25,37.537,43.516,50.366
2024-04-10,RA-TFT,1,37.81,36.043,41.329,47.346
2024-04-11,RA-TFT,1,41.83,34.037,38.537,43.61
2024-04-12,RA-TFT,1,44.37,36.227,41.568,47.651
2024-04-13,RA-TFT,1,37.68,36.11,41.348,47.299
2024-04-14,RA-TFT,1,31.74,33.71,38.007,42.845
2024-04-15,RA-TFT,1,27.76,30.693,34.161,37.977
2024-04-16,RA-TFT,1,25.73,28.173,31.184,34.39
2024-04-17,RA-TFT,1,23.76,26.251,29.073,31.962
2024-04-18,RA-TFT,1,22.27,24.337,27.05,29.72
2024-04-19,RA-TFT,1,21.36,22.586,25.294,27.834
2024-04-20,RA-TFT,1,21.52,21.058,23.806,26.279
2024-04-21,RA-TFT,1,20.8,20.021,22.824,25.276
2024-04-22,RA-TFT,1,20.33,19.143,21.997,24.431
2024-04-23,RA-TFT,1,19.78,18.285,21.187,23.613
2024-04-24,RA-TFT,1,18.87,17.429,20.38,22.803
2024-04-25,RA-TFT,1,18.25,16.505,19.517,21.935
2024-04-26,RA-TFT,1,17.55,15.716,18.774,21.195
2024-04-27,RA-TFT,1,17.15,14.954,18.065,20.492
2024-04-28,RA-TFT,1,16.87,14.328,17.478,19.924
2024-04-29,RA-TFT,1,16.4,13.863,17.031,19.483
2024-04-30,RA-TFT,1,16.05,13.411,16.556,18.963
2024-05-01,RA-TFT,1,16.09,13.068,16.226,18.616
2024-05-02,RA-TFT,1,15.62,12.874,15.981,18.264
2024-05-03,RA-TFT,1,15.63,13.026,16.016,18.195
2024-05-04,RA-TFT,1,15.53,12.921,15.872,18.01
2024-05-05,RA-TFT,1,15.14,12.708,15.623,17.75
2024-05-06,RA-TFT,1,15.01,12.375,15.313,17.442
2024-05-07,RA-TFT,1,14.9,12.126,15.075,17.217
2024-05-08,RA-TFT,1,14.83,11.848,14.822,16.982
2024-05-09,RA-TFT,1,14.61,11.584,14.573,16.748
2024-05-10,RA-TFT,1,14.29,11.304,14.305,16.49
2024-05-11,RA-TFT,1,14.24,10.941,13.968,16.167
2024-05-12,RA-TFT,1,13.96,10.594,13.658,15.873
2024-05-13,RA-TFT,1,13.73,10.239,13.292,15.504
2024-05-14,RA-TFT,1,13.72,9.838,12.914,15.133
2024-05-15,RA-TFT,1,13.61,9.65,12.769,15.02
2024-05-16,RA-TFT,1,13.67,9.301,12.445,14.697
2024-05-17,RA-TFT,1,14.47,9.117,12.26,14.518
2024-05-18,RA-TFT,1,14.36,9.058,12.216,14.487
2024-05-19,RA-TFT,1,13.6,8.993,12.142,14.421
2024-05-20,RA-TFT,1,14.79,8.786,11.962,14.25
2024-05-21,RA-TFT,1,13.61,8.906,12.1,14.423
2024-05-22,RA-TFT,1,13.25,8.482,11.668,13.992
2024-05-23,RA-TFT,1,12.83,7.996,11.189,13.509
2024-05-24,RA-TFT,1,12.36,7.53,10.737,13.061
2024-05-25,RA-TFT,1,10.79,7.14,10.356,12.7
2024-05-26,RA-TFT,1,11.17,6.189,9.484,11.811
2024-05-27,RA-TFT,1,11.09,5.767,9.091,11.444
2024-05-28,RA-TFT,1,10.79,5.253,8.618,10.971
2024-05-29,RA-TFT,1,10.42,4.853,8.253,10.606
2024-05-30,RA-TFT,1,10.28,4.541,7.951,10.302
2024-05-31,RA-TFT,1,10.13,4.483,7.85,10.194
2024-06-01,RA-TFT,1,10.17,4.448,7.768,10.082
2024-06-02,RA-TFT,1,10.18,4.478,7.711,9.957
2024-06-03,RA-TFT,1,10.08,4.606,7.783,10.006
2024-06-04,RA-TFT,1,9.9,4.672,7.811,10.041
2024-06-05,RA-TFT,1,9.55,4.563,7.696,9.93
2024-06-06,RA-TFT,1,9.48,4.389,7.536,9.777
2024-06-07,RA-TFT,1,9.41,4.274,7.434,9.689
2024-06-08,RA-TFT,1,9.43,4.228,7.393,9.675
2024-06-09,RA-TFT,1,9.62,3.993,7.197,9.485
2024-06-10,RA-TFT,1,9.38,3.9,7.137,9.458
2024-06-11,RA-TFT,1,9.41,3.797,7.041,9.381
2024-06-12,RA-TFT,1,9.11,3.528,6.826,9.168
2024-06-13,RA-TFT,1,9.12,3.418,6.749,9.114
2024-06-14,RA-TFT,1,8.97,3.314,6.685,9.078
2024-06-15,RA-TFT,1,8.96,3.212,6.599,9.009
2024-06-16,RA-TFT,1,9.09,3.077,6.5,8.93
2024-06-17,RA-TFT,1,9.17,2.995,6.46,8.924
