date,obs,p50,p10,p90,clim
2021-02-01,34.083,45.829,24.988,62.611,26.182
2021-03-01,45.415,33.403,26.787,45.662,32.29
2021-04-01,34.675,27.935,18.389,53.144,22.803
2021-05-01,10.837,11.655,10.36,14.532,9.868
2021-06-01,7.982,7.956,7.351,8.562,6.899
2021-07-01,7.09,6.944,5.813,7.549,5.968
2021-08-01,7.161,7.133,6.042,7.827,6.299
2021-09-01,7.4,7.188,6.1,7.994,6.29
2021-10-01,8.277,6.987,5.265,7.759,6.063
2021-11-01,7.738,6.715,5.013,9.51,7.981
2021-12-01,10.969,9.024,2.528,19.491,10.353
2022-01-01,8.154,14.139,7.071,26.248,14.34
2022-02-01,31.108,16.235,6.048,33.374,26.182
2022-03-01,51.578,33.456,22.918,49.048,32.29
2022-04-01,33.113,29.6,18.835,49.199,22.803
2022-05-01,10.295,11.096,9.538,12.121,9.868
2022-06-01,7.464,7.746,6.962,8.832,6.899
2022-07-01,6.769,6.545,5.707,7.282,5.968
2022-08-01,6.654,6.616,5.985,7.222,6.299
2022-09-01,6.484,6.747,5.848,7.352,6.29
2022-10-01,6.247,6.619,4.65,11.494,6.063
2022-11-01,6.032,8.238,7.377,13.525,7.981
2022-12-01,7.885,8.125,1.866,16.73,10.353
2023-01-01,17.014,10.904,2.241,20.714,14.34
2023-02-01,48.333,31.692,17.344,58.081,26.182
2023-03-01,41.141,51.253,32.622,70.158,32.29
2023-04-01,22.239,37.619,20.987,60.82,22.803
2023-05-01,12.15,9.26,4.975,12.146,9.868
2023-06-01,7.291,7.453,6.39,8.166,6.899
2023-07-01,6.296,6.443,5.211,7.321,5.968
2023-08-01,6.448,6.741,5.936,7.533,6.299
2023-09-01,6.463,6.61,5.67,7.344,6.29
2023-10-01,7.73,6.226,4.555,11.96,6.063
2023-11-01,11.021,6.354,4.874,11.192,7.981
2023-12-01,26.648,7.514,1.829,24.091,10.353
2024-01-01,35.075,15.174,1.532,33.758,14.34
2024-02-01,30.239,28.857,17.722,54.051,26.182
2024-03-01,30.26,31.264,20.309,50.049,32.29
2024-04-01,29.117,20.226,6.166,31.927,22.803
2024-05-01,13.501,9.574,5.265,15.543,9.868
2024-06-01,9.717,6.718,4.794,9.621,6.899
2024-07-01,10.005,6.807,5.423,7.844,5.968
2024-08-01,9.263,7.116,5.842,10.413,6.299
2024-09-01,7.451,7.034,5.694,12.179,6.29
2024-10-01,6.484,6.877,4.789,7.755,6.063
2024-11-01,8.884,8.512,5.846,10.391,7.981
2024-12-01,,10.588,3.033,22.408,10.353
2025-01-01,,10.857,2.946,29.964,14.34
2025-02-01,,25.529,17.888,40.813,26.182
2025-03-01,,47.281,29.672,71.447,32.29
2025-04-01,,25.521,17.584,48.669,22.803
2025-05-01,,10.228,8.524,11.089,9.868
2025-06-01,,7.847,6.113,8.453,6.899
2025-07-01,,6.843,5.638,7.448,5.968
2025-08-01,,6.87,5.924,7.565,6.299
2025-09-01,,6.923,5.839,11.089,6.29
2025-10-01,13.119,6.685,4.645,11.528,6.063
2025-11-01,9.665,5.942,4.611,9.995,7.981
2025-12-01,7.859,10.017,3.105,16.775,10.353
2026-01-01,,12.803,4.603,23.338,14.34
