date,obs,p10,p50,p90
2024-01-01,,38.5,47.806,56.285
2024-01-02,,16.97,25.345,32.844
2024-01-03,,12.869,21.005,28.297
2024-01-04,,13.046,21.087,28.269
2024-01-05,,10.846,18.772,25.888
2024-01-06,,10.162,17.897,24.908
2024-01-07,,9.353,17.062,24.039
2024-01-08,,8.342,15.906,22.881
2024-01-09,26.84,10.855,18.512,25.415
2024-01-10,31.85,22.122,30.312,37.569
2024-01-11,29.59,21.207,29.401,36.803
2024-01-12,33.9,25.985,34.467,42.149
2024-01-13,34.28,26.51,35.067,42.913
2024-01-14,37.83,28.042,36.611,44.6
2024-01-15,36.27,31.645,40.455,48.636
2024-01-16,31.65,22.81,31.162,39.11
2024-01-17,34.54,25.14,33.606,41.494
2024-01-18,38.96,29.615,38.344,46.485
2024-01-19,37.17,31.814,40.73,49.079
2024-01-20,33.81,29.433,38.201,46.53
2024-01-21,33.03,26.898,35.602,43.767
2024-01-22,34.86,26.466,35.157,43.289
2024-01-23,32.32,27.762,36.537,44.743
2024-01-24,32.86,26.287,34.981,43.058
2024-01-25,32.67,21.327,29.782,37.682
2024-01-26,35.08,25.434,34.068,42.105
2024-01-27,34.18,26.995,35.752,43.909
2024-01-28,32.7,26.104,34.786,42.932
2024-01-29,40.3,28.022,36.855,45.032
2024-01-30,49.22,41.494,51.166,60.124
2024-01-31,42.82,36.285,45.598,54.394
2024-02-01,51.52,46.523,56.383,65.74
2024-02-02,56.68,51.778,61.975,71.901
2024-02-03,47.92,40.222,49.636,58.831
2024-02-04,39.58,33.294,42.161,50.814
2024-02-05,37.78,32.861,41.69,50.249
2024-02-06,33.96,26.785,35.341,43.651
2024-02-07,31.39,20.682,28.97,37.036
2024-02-08,30.74,20.97,29.243,37.209
2024-02-09,29.53,21.443,29.711,37.623
2024-02-10,27.51,19.576,27.846,35.661
2024-02-11,25.0,15.797,23.894,31.57
2024-02-12,23.97,14.704,22.728,30.283
2024-02-13,23.97,14.044,22.077,29.551
2024-02-14,22.27,13.554,21.587,29.025
2024-02-15,23.0,16.662,24.805,32.232
2024-02-16,21.46,13.032,21.071,28.446
2024-02-17,20.71,16.335,24.49,31.859
2024-02-18,22.2,11.55,19.483,26.728
2024-02-19,26.85,14.828,22.809,30.135
2024-02-20,25.9,21.591,29.968,37.625
2024-02-21,30.23,17.157,25.269,32.841
2024-02-22,25.74,18.062,26.25,33.882
2024-02-23,23.19,14.915,22.902,30.377
2024-02-24,21.68,15.536,23.612,31.054
2024-02-25,20.78,13.126,21.064,28.387
2024-02-26,29.61,27.225,35.999,43.816
2024-02-27,31.54,22.89,31.443,39.298
2024-02-28,34.07,23.145,31.613,39.495
2024-02-29,38.16,28.626,37.428,45.593
2024-03-01,42.19,36.247,45.495,54.116
2024-03-02,44.57,31.96,41.057,49.618
2024-03-03,41.91,33.037,42.235,50.887
2024-03-04,38.47,28.307,37.243,45.669
2024-03-05,34.4,26.034,34.786,43.031
2024-03-06,31.51,21.049,29.521,37.523
2024-03-07,28.53,18.486,26.835,34.709
2024-03-08,28.62,17.848,26.171,33.944
2024-03-09,27.82,19.728,28.049,35.835
2024-03-10,26.02,17.186,25.456,33.14
2024-03-11,25.3,15.381,23.534,31.137
2024-03-12,26.61,16.333,24.541,32.119
2024-03-13,23.65,15.771,23.887,31.4
2024-03-14,21.07,12.852,20.866,28.288
2024-03-15,19.57,11.482,19.32,26.627
2024-03-16,18.34,10.161,17.98,25.181
2024-03-17,20.04,12.022,19.9,27.055
2024-03-18,19.79,11.872,19.781,26.971
2024-03-19,23.43,14.946,22.904,30.128
2024-03-20,27.17,17.543,25.669,33.011
2024-03-21,23.56,16.672,24.814,32.318
2024-03-22,24.78,15.026,23.154,30.588
2024-03-23,28.01,14.472,22.551,29.96
2024-03-24,31.92,35.342,44.661,52.984
2024-03-25,44.65,22.006,30.612,38.574
2024-03-26,47.61,49.165,59.39,68.914
2024-03-27,44.78,33.954,43.12,51.867
2024-03-28,36.95,29.626,38.431,46.862
2024-03-29,33.12,22.928,31.379,39.499
2024-03-30,28.24,20.426,28.723,36.663
2024-03-31,25.44,16.158,24.322,32.016
2024-04-01,29.32,15.192,23.328,30.898
2024-04-02,34.82,24.489,33.0,40.892
2024-04-03,34.82,24.839,33.422,41.409
2024-04-04,40.65,29.409,38.147,46.336
2024-04-05,42.33,32.145,41.096,49.507
2024-04-06,44.87,32.134,41.048,49.475
2024-04-07,47.04,31.812,40.722,49.213
2024-04-08,41.54,33.194,42.108,50.66
2024-04-09,40.25,28.69,37.463,45.819
2024-04-10,37.81,27.888,36.559,44.816
2024-04-11,41.83,24.492,32.973,41.049
2024-04-12,44.37,32.281,41.128,49.529
2024-04-13,37.68,29.353,38.071,46.431
2024-04-14,31.74,23.398,31.794,39.913
2024-04-15,27.76,18.909,27.089,34.943
2024-04-16,25.73,16.603,24.619,32.244
2024-04-17,23.76,15.151,23.162,30.642
2024-04-18,22.27,13.549,21.429,28.791
2024-04-19,21.36,12.558,20.38,27.646
2024-04-20,21.52,12.128,19.862,27.02
2024-04-21,20.8,11.968,19.746,26.852
2024-04-22,20.33,11.885,19.574,26.657
2024-04-23,19.78,11.257,18.879,25.91
