date,value
2023-04-01,28.46
2023-04-02,26.57
2023-04-03,25.61
2023-04-04,25.38
2023-04-05,25.33
2023-04-06,24.55
2023-04-07,24.56
2023-04-08,23.69
2023-04-09,24.13
2023-04-10,24.51
2023-04-11,22.86
2023-04-12,22.2
2023-04-13,22.42
2023-04-14,23.32
2023-04-15,22.28
2023-04-16,22.02
2023-04-17,23.87
2023-04-18,21.76
2023-04-19,20.41
2023-04-20,19.46
2023-04-21,19.56
2023-04-22,18.92
2023-04-23,17.76
2023-04-24,17.24
2023-04-25,16.97
2023-04-26,16.53
2023-04-27,15.6
2023-04-28,14.75
2023-04-29,14.39
2023-04-30,15.12
2023-05-01,14.57
2023-05-02,14.06
2023-05-03,13.19
2023-05-04,12.74
2023-05-05,12.48
2023-05-06,12.64
2023-05-07,12.48
2023-05-08,13.01
2023-05-09,13.28
2023-05-10,12.54
2023-05-11,11.68
2023-05-12,11.45
2023-05-13,11.64
2023-05-14,11.32
2023-05-15,11.19
2023-05-16,10.82
2023-05-17,10.53
2023-05-18,10.32
2023-05-19,10.18
2023-05-20,10.0
2023-05-21,9.52
2023-05-22,9.41
2023-05-23,9.42
2023-05-24,9.1
2023-05-25,9.25
2023-05-26,9.42
2023-05-27,9.2
2023-05-28,9.15
2023-05-29,8.89
2023-05-30,8.76
2023-05-31,8.55
2023-06-01,8.18
2023-06-02,7.94
2023-06-03,7.77
2023-06-04,7.61
2023-06-05,7.77
2023-06-06,7.56
2023-06-07,7.44
2023-06-08,7.25
2023-06-09,7.56
2023-06-10,7.41
2023-06-11,7.35
2023-06-12,6.66
2023-06-13,6.58
2023-06-14,6.66
2023-06-15,6.98
2023-06-16,7.7
2023-06-17,7.69
2023-06-18,7.25
2023-06-19,7.12
2023-06-20,7.09
2023-06-21,6.93
2023-06-22,6.88
2023-06-23,6.77
2023-06-24,6.61
2023-06-25,6.54
2023-06-26,6.4
2023-06-27,5.87
2023-06-28,5.69
2023-06-29,5.71
2023-06-30,5.61
2023-07-01,5.26
2023-07-02,5.1
2023-07-03,4.77
2023-07-04,4.47
2023-07-05,4.34
2023-07-06,4.74
2023-07-07,4.81
2023-07-08,4.55
2023-07-09,4.92
2023-07-10,5.0
2023-07-11,4.81
2023-07-12,4.82
2023-07-13,4.97
2023-07-14,4.98
2023-07-15,5.18
2023-07-16,6.85
2023-07-17,7.04
2023-07-18,7.12
2023-07-19,7.09
2023-07-20,6.93
2023-07-21,6.79
2023-07-22,6.4
2023-07-23,6.29
2023-07-24,6.32
2023-07-25,6.37
2023-07-26,6.3
2023-07-27,6.82
2023-07-28,6.67
2023-07-29,6.53
2023-07-30,6.32
2023-07-31,6.4
2023-08-01,6.32
2023-08-02,6.27
2023-08-03,6.14
2023-08-04,6.13
2023-08-05,6.37
2023-08-06,6.3
2023-08-07,6.32
2023-08-08,6.13
2023-08-09,6.08
2023-08-10,6.24
2023-08-11,6.6
2023-08-12,6.09
2023-08-13,5.95
2023-08-14,5.54
2023-08-15,5.59
2023-08-16,5.52
2023-08-17,5.52
2023-08-18,5.5
2023-08-19,5.76
2023-08-20,5.9
2023-08-21,5.94
2023-08-22,5.65
2023-08-23,5.61
2023-08-24,5.55
2023-08-25,5.61
2023-08-26,5.58
2023-08-27,5.47
2023-08-28,5.58
2023-08-29,5.58
2023-08-30,5.52
2023-08-31,5.38
2023-09-01,5.11
2023-09-02,5.41
2023-09-03,5.25
2023-09-04,5.24
2023-09-05,5.46
2023-09-06,5.43
2023-09-07,5.54
2023-09-08,5.44
2023-09-09,5.36
2023-09-10,5.33
2023-09-11,5.03
2023-09-12,5.22
2023-09-13,5.06
2023-09-14,4.94
2023-09-15,4.86
2023-09-16,4.99
2023-09-17,5.28
2023-09-18,5.41
2023-09-19,5.39
2023-09-20,5.16
2023-09-21,5.71
2023-09-22,5.6
2023-09-23,5.83
2023-09-24,5.21
2023-09-25,5.19
2023-09-26,5.13
2023-09-27,5.11
2023-09-28,5.38
2023-09-29,6.79
2023-09-30,6.04
2023-10-01,5.94
2023-10-02,6.37
2023-10-03,9.18
2023-10-04,9.82
2023-10-05,8.11
2023-10-06,7.58
2023-10-07,7.42
2023-10-08,7.44
2023-10-09,7.55
2023-10-10,7.25
2023-10-11,7.61
2023-10-12,7.04
2023-10-13,6.54
2023-10-14,6.82
2023-10-15,6.67
2023-10-16,6.91
2023-10-17,7.34
2023-10-18,8.87
2023-10-19,8.61
2023-10-20,8.5
2023-10-21,8.18
2023-10-22,7.91
2023-10-23,7.45
2023-10-24,7.23
2023-10-25,7.37
2023-10-26,10.7
2023-10-27,12.42
2023-10-28,9.9
2023-10-29,8.72
2023-10-30,8.04
2023-10-31,7.65
2023-11-01,7.04
2023-11-02,6.57
2023-11-03,6.32
2023-11-04,6.42
2023-11-05,7.7
2023-11-06,8.07
2023-11-07,8.05
2023-11-08,7.28
2023-11-09,7.03
2023-11-10,6.6
2023-11-11,6.6
2023-11-12,6.48
2023-11-13,6.75
2023-11-14,8.4
2023-11-15,11.14
2023-11-16,13.47
2023-11-17,13.96
2023-11-18,16.25
2023-11-19,20.1
2023-11-20,16.97
2023-11-21,16.06
2023-11-22,13.64
2023-11-23,12.34
2023-11-24,12.65
2023-11-25,19.09
2023-11-26,19.52
2023-11-27,19.55
2023-11-28,22.61
2023-11-29,20.44
2023-11-30,18.15
2023-12-01,20.91
2023-12-02,31.56
2023-12-03,30.67
2023-12-04,24.32
2023-12-05,20.37
2023-12-06,21.72
2023-12-07,20.25
2023-12-08,18.83
2023-12-09,19.36
2023-12-10,27.32
2023-12-11,29.98
2023-12-12,24.79
2023-12-13,20.88
2023-12-14,20.1
2023-12-15,19.47
2023-12-16,19.94
2023-12-17,22.92
2023-12-18,20.35
2023-12-19,21.97
2023-12-20,23.85
