date,value
2023-01-01,10.31
2023-01-02,13.54
2023-01-03,17.7
2023-01-04,14.4
2023-01-05,11.07
2023-01-06,9.62
2023-01-07,10.41
2023-01-08,14.37
2023-01-09,13.01
2023-01-10,14.01
2023-01-11,18.23
2023-01-12,18.7
2023-01-13,13.87
2023-01-14,14.01
2023-01-15,12.72
2023-01-16,11.12
2023-01-17,10.41
2023-01-18,10.68
2023-01-19,24.1
2023-01-20,29.22
2023-01-21,25.4
2023-01-22,22.67
2023-01-23,23.05
2023-01-24,19.99
2023-01-25,19.52
2023-01-26,21.58
2023-01-27,21.49
2023-01-28,19.16
2023-01-29,24.64
2023-01-30,21.24
2023-01-31,17.19
2023-02-01,15.12
2023-02-02,17.09
2023-02-03,23.06
2023-02-04,40.64
2023-02-05,62.54
2023-02-06,57.06
2023-02-07,41.12
2023-02-08,31.47
2023-02-09,25.06
2023-02-10,24.85
2023-02-11,22.96
2023-02-12,20.95
2023-02-13,31.78
2023-02-14,32.08
2023-02-15,40.89
2023-02-16,49.51
2023-02-17,56.71
2023-02-18,78.07
2023-02-19,80.0
2023-02-20,81.11
2023-02-21,90.81
2023-02-22,84.62
2023-02-23,67.98
2023-02-24,69.99
2023-02-25,64.33
2023-02-26,54.95
2023-02-27,50.08
2023-02-28,38.49
2023-03-01,32.49
2023-03-02,23.64
2023-03-03,19.46
2023-03-04,15.67
2023-03-05,13.21
2023-03-06,18.62
2023-03-07,16.82
2023-03-08,17.03
2023-03-09,16.03
2023-03-10,28.91
2023-03-11,47.62
2023-03-12,64.06
2023-03-13,104.01
2023-03-14,103.14
2023-03-15,113.36
2023-03-16,95.42
2023-03-17,71.83
2023-03-18,59.34
2023-03-19,69.05
2023-03-20,63.96
2023-03-21,47.73
2023-03-22,36.89
2023-03-23,30.45
2023-03-24,23.43
2023-03-25,21.84
2023-03-26,22.6
2023-03-27,16.92
2023-03-28,15.8
2023-03-29,19.57
2023-03-30,23.04
2023-03-31,23.44
2023-04-01,28.76
2023-04-02,26.57
2023-04-03,25.53
2023-04-04,25.88
2023-04-05,26.77
2023-04-06,27.79
2023-04-07,26.24
2023-04-08,23.96
2023-04-09,24.16
2023-04-10,25.79
2023-04-11,24.23
2023-04-12,23.2
2023-04-13,22.99
2023-04-14,24.54
2023-04-15,23.2
2023-04-16,22.73
2023-04-17,24.13
2023-04-18,22.08
2023-04-19,20.41
2023-04-20,19.43
2023-04-21,19.65
2023-04-22,19.09
2023-04-23,17.94
2023-04-24,18.29
2023-04-25,19.02
2023-04-26,18.45
2023-04-27,17.55
2023-04-28,16.68
2023-04-29,15.81
2023-04-30,16.27
2023-05-01,14.44
2023-05-02,13.46
2023-05-03,12.93
2023-05-04,12.1
2023-05-05,11.64
2023-05-06,12.3
2023-05-07,13.02
2023-05-08,13.54
2023-05-09,14.08
2023-05-10,14.17
2023-05-11,15.37
2023-05-12,15.05
2023-05-13,15.58
2023-05-14,14.73
2023-05-15,13.69
2023-05-16,13.19
2023-05-17,12.58
2023-05-18,12.0
2023-05-19,11.55
2023-05-20,11.22
2023-05-21,11.11
2023-05-22,10.55
2023-05-23,10.31
2023-05-24,9.88
2023-05-25,9.75
2023-05-26,9.93
2023-05-27,9.76
2023-05-28,9.86
2023-05-29,10.0
2023-05-30,9.72
2023-05-31,9.17
2023-06-01,8.71
2023-06-02,8.21
2023-06-03,7.98
2023-06-04,7.83
2023-06-05,8.01
2023-06-06,7.83
2023-06-07,7.82
2023-06-08,7.7
2023-06-09,7.92
2023-06-10,7.64
2023-06-11,7.44
2023-06-12,7.33
2023-06-13,6.99
2023-06-14,6.83
2023-06-15,7.0
2023-06-16,7.46
2023-06-17,7.8
2023-06-18,7.46
2023-06-19,7.24
2023-06-20,7.28
2023-06-21,7.19
2023-06-22,7.06
2023-06-23,7.16
2023-06-24,6.96
2023-06-25,6.76
2023-06-26,6.67
2023-06-27,6.53
2023-06-28,6.07
2023-06-29,5.94
2023-06-30,5.9
2023-07-01,5.69
2023-07-02,5.58
2023-07-03,5.44
2023-07-04,5.17
2023-07-05,4.78
2023-07-06,5.02
2023-07-07,5.25
2023-07-08,5.1
2023-07-09,5.26
2023-07-10,5.3
2023-07-11,5.32
2023-07-12,5.23
2023-07-13,5.42
2023-07-14,5.3
2023-07-15,5.59
2023-07-16,7.06
2023-07-17,7.44
2023-07-18,7.6
2023-07-19,7.37
2023-07-20,7.36
2023-07-21,7.43
2023-07-22,6.99
2023-07-23,6.93
2023-07-24,6.76
2023-07-25,6.85
2023-07-26,6.95
2023-07-27,6.99
2023-07-28,7.61
2023-07-29,7.08
2023-07-30,7.09
2023-07-31,7.14
2023-08-01,6.99
2023-08-02,6.58
2023-08-03,6.45
2023-08-04,6.28
2023-08-05,6.52
2023-08-06,6.83
