date,value
2023-01-01,2.37
2023-01-02,2.87
2023-01-03,3.11
2023-01-04,2.4
2023-01-05,2.04
2023-01-06,1.86
2023-01-07,2.35
2023-01-08,3.08
2023-01-09,3.34
2023-01-10,3.17
2023-01-11,3.12
2023-01-12,2.87
2023-01-13,2.41
2023-01-14,2.27
2023-01-15,2.13
2023-01-16,1.9
2023-01-17,1.78
2023-01-18,2.38
2023-01-19,3.98
2023-01-20,4.16
2023-01-21,3.32
2023-01-22,2.8
2023-01-23,2.45
2023-01-24,2.22
2023-01-25,2.18
2023-01-26,2.17
2023-01-27,1.98
2023-01-28,2.9
2023-01-29,3.77
2023-01-30,3.28
2023-01-31,2.79
2023-02-01,2.63
2023-02-02,2.98
2023-02-03,4.35
2023-02-04,5.13
2023-02-05,6.63
2023-02-06,6.42
2023-02-07,4.65
2023-02-08,3.79
2023-02-09,3.28
2023-02-10,3.11
2023-02-11,3.08
2023-02-12,2.97
2023-02-13,2.7
2023-02-14,3.25
2023-02-15,4.97
2023-02-16,5.62
2023-02-17,6.63
2023-02-18,10.57
2023-02-19,12.94
2023-02-20,14.1
2023-02-21,14.94
2023-02-22,13.54
2023-02-23,13.18
2023-02-24,11.66
2023-02-25,10.33
2023-02-26,8.9
2023-02-27,7.22
2023-02-28,6.32
2023-03-01,5.9
2023-03-02,5.65
2023-03-03,5.17
2023-03-04,4.83
2023-03-05,4.9
2023-03-06,5.55
2023-03-07,5.48
2023-03-08,5.01
2023-03-09,4.99
2023-03-10,6.45
2023-03-11,7.16
2023-03-12,8.92
2023-03-13,11.15
2023-03-14,10.27
2023-03-15,9.88
2023-03-16,9.57
2023-03-17,8.96
2023-03-18,8.03
2023-03-19,9.53
2023-03-20,8.97
2023-03-21,7.41
2023-03-22,6.36
2023-03-23,5.77
2023-03-24,5.61
2023-03-25,6.08
2023-03-26,5.82
2023-03-27,5.42
2023-03-28,5.08
2023-03-29,5.13
2023-03-30,5.07
2023-03-31,4.62
2023-04-01,4.41
2023-04-02,4.2
